x0,x1,y,split
0.401208,-3.88467,1.02638,val
2.24588,0.951806,1.3925,train
0.782871,3.47229,1.23946,val
2.69729,-4.08285,2.00112,test
2.62139,0.414657,1.03481,val
-3.11219,-1.52821,1.80675,train
0.0919408,3.58846,0.975751,val
3.81903,-3.97898,1.9888,train
-0.578455,3.43529,1.11524,test
1.02364,3.55162,1.50866,val
0.972601,-2.76964,1.43442,train
0.0285257,0.151548,0.0250218,train
3.94078,-1.44248,1.82304,train
-2.6501,2.48858,1.93751,train
-0.804191,-0.156493,0.279166,train
4.76586,1.74645,1.92851,train
1.71849,4.33888,1.86258,train
2.16295,4.54772,1.94672,test
1.33303,0.874149,1.13926,train
-2.15774,-2.69204,1.94129,train
0.315024,-4.40944,1.03015,val
-3.31712,2.08369,1.89903,test
1.79011,-4.71657,1.90968,train
-3.36835,1.17824,1.65814,test
-0.923458,0.889659,0.814472,train
-3.71298,3.62486,2.0033,train
-2.41065,-1.25596,1.65565,train
-0.5063,0.928293,0.523607,train
4.80519,-2.90571,1.99555,train
-3.37615,-3.54663,1.99997,test
2.74733,-1.17544,1.62469,train
4.26967,-4.33441,1.99865,train
0.315564,2.57236,1.02046,val
0.0708544,-0.934011,0.431803,train
3.11516,0.091039,0.994403,train
4.06537,-2.61397,1.98323,train
0.984557,1.34479,1.20981,test
4.07131,-4.06744,1.98846,train
3.0572,1.8349,1.92479,train
3.60609,1.08859,1.56609,train
-0.462273,2.96326,1.02982,train
-2.15816,-4.44582,1.95257,train
2.49965,3.12374,1.92548,train
3.28679,-0.52311,1.0811,val
2.32674,2.13643,1.88765,train
-2.11451,2.65539,1.94312,test
4.64191,-1.47896,1.82166,train
-2.26554,0.838584,1.28587,train
3.7781,1.08292,1.57576,test
4.70048,4.22614,2.01351,train
2.1072,2.06894,1.92013,train
-3.21946,-1.58951,1.84467,train
3.10146,-0.995437,1.48066,train
-2.71943,-4.36877,1.95801,test
-2.76954,0.77113,1.2083,val
4.24137,-1.08479,1.60116,test
2.89535,-3.71205,1.95354,train
3.22736,4.27533,1.96966,val
0.0256061,-0.45225,0.0495551,train
4.0811,-2.72181,1.94512,train
4.20627,4.175,2.00543,train
4.57546,3.91127,1.97256,val
0.257346,1.81767,0.892284,test
0.329965,-1.98253,0.936529,test
4.9064,-4.75029,1.97523,train
-2.48472,4.28645,1.97733,test
4.52309,-2.21185,1.99265,train
4.99783,3.12644,2.00475,train
2.76859,0.718455,1.20517,train
-1.05728,-4.90759,1.5385,val
-1.34419,-1.25216,1.47039,val
-4.18512,-4.15496,1.9957,train
-2.36631,-0.0564696,0.967222,train
2.7412,0.888791,1.36993,test
0.409625,2.96597,0.984349,train
3.48001,-0.601561,1.15212,train
1.07167,4.21273,1.53164,train
-4.2019,1.08907,1.57672,val
2.76513,-0.726666,1.22071,val
2.49942,3.40037,1.94807,train
2.64344,0.368069,1.02291,val
2.2437,2.09336,1.87647,train
-1.16634,-4.78733,1.62773,test
4.49717,-0.323048,0.948905,val
-2.01493,-2.49468,1.94205,test
-1.00507,0.778803,0.743171,train
0.177565,-1.17805,0.640794,train
-4.22231,4.80758,2.01264,train
-4.84288,4.19766,2.00212,train
-4.68214,0.0542692,1.02289,test
2.85468,1.63576,1.8772,val
2.05742,-4.02508,1.96396,val
3.64052,1.49826,1.81535,train
4.41754,4.95249,1.99209,train
2.54642,3.05154,1.98216,val
4.61031,2.19323,1.97348,train
1.117,0.269556,0.636025,val
0.228324,1.39953,0.775428,train
1.24679,-4.98586,1.67697,train
-3.50744,-0.832379,1.28514,train
-2.12408,1.74517,1.84258,val
4.90665,-2.34161,1.96202,val
3.10695,-1.28636,1.69074,train
2.23794,-4.11259,1.95206,test
1.23933,0.205727,0.718173,test
3.2908,-3.81436,2.00978,val
0.217383,3.63365,0.980405,train
1.9475,-3.39248,1.94001,train
3.53362,-2.6901,1.94169,train
-4.263,-4.15118,1.9757,train
2.84252,3.40362,1.97859,val
3.80638,2.5439,1.95437,train
3.94028,4.27602,1.97202,train
0.371629,1.32259,0.777477,train
4.53438,0.141983,0.971908,train
-2.59254,4.38618,1.97682,test
-4.49323,0.833464,1.3188,train
4.29456,2.44362,1.9808,val
1.05482,-0.135629,0.57061,train
-2.27429,0.633356,1.10428,train
2.38585,0.612137,1.07926,train
2.66392,4.67116,2.00179,train
1.39418,2.07878,1.74314,val
3.49285,0.531682,1.04388,test
-2.1165,2.93494,1.94187,test
3.24831,4.79873,1.97239,train
-4.78808,0.0703099,0.933908,train
-4.3876,-0.0371447,0.9719,train
-0.225477,-2.8023,0.975581,train
4.99181,2.42835,1.95744,val
-1.13918,2.94867,1.57461,val
-2.53185,-2.15451,1.92157,train
5.94421,4.58607,1.99694,extrap
5.9203,-0.404935,1.02537,extrap
2.76185,6.17997,1.98242,extrap
3.46855,5.69808,1.99219,extrap
-4.77022,-5.78904,1.99718,extrap
-5.65763,-1.13036,1.61917,extrap
-6.24564,2.98843,1.98696,extrap
-2.70773,-5.06831,1.98022,extrap
6.40749,3.26305,1.99066,extrap
-6.6048,-4.33741,1.99666,extrap
-5.7315,-3.50616,1.9925,extrap
-5.05941,-4.33461,1.99565,extrap
-6.4066,4.37254,1.99668,extrap
3.60191,6.26908,1.99345,extrap
6.507,-2.75628,1.98241,extrap
-2.09556,-5.27991,1.94942,extrap
6.14351,-1.74598,1.90215,extrap
-4.5097,-5.77105,1.99669,extrap
3.67627,5.12452,1.99311,extrap
2.61823,6.26992,1.97852,extrap
-6.01081,1.65643,1.88198,extrap
3.80804,6.60954,1.99474,extrap
-0.891486,5.70366,1.38617,extrap
5.81714,-2.8574,1.98435,extrap
0.633272,5.51961,1.13747,extrap
-2.91477,-5.97574,1.98555,extrap
-5.95041,-4.74334,1.99723,extrap
-1.89826,5.14252,1.92706,extrap
-2.7202,6.91776,1.98163,extrap
-6.64622,0.903238,1.3991,extrap
6.69864,4.27648,1.99652,extrap
-3.24282,5.97852,1.99026,extrap
5.75577,-1.5871,1.86294,extrap
-6.44887,2.03591,1.94442,extrap
6.97573,-4.49262,1.99713,extrap
6.51098,-2.50482,1.97467,extrap
5.18253,-3.68909,1.99325,extrap
6.60138,1.34924,1.76767,extrap
-4.14928,-5.90943,1.99582,extrap
-3.21193,5.02493,1.98913,extrap
-5.50869,-4.22714,1.99579,extrap
-6.81118,-4.96831,1.9979,extrap
2.53247,-5.97468,1.97548,extrap
-2.90108,6.49305,1.98552,extrap
5.88225,-1.99054,1.93928,extrap
0.978967,5.01571,1.47718,extrap
-1.78567,6.21081,1.90978,extrap
5.56545,1.24834,1.70728,extrap
1.83185,5.27789,1.91715,extrap
4.3585,-6.37221,1.99663,extrap
-6.22315,-1.60026,1.86702,extrap
-5.49458,3.26558,1.99019,extrap
5.09434,-0.567498,1.09249,extrap
-3.07869,6.63051,1.98847,extrap
3.67588,-6.39523,1.99396,extrap
5.25578,-3.90504,1.99441,extrap
6.56495,-0.310939,1.00872,extrap
-5.77116,-4.01884,1.99528,extrap
-2.92796,-6.56995,1.98604,extrap
-3.57097,-6.71505,1.9934,extrap
-0.897258,-5.31373,1.392,extrap
-5.96265,2.36369,1.96817,extrap
4.49989,6.53641,1.99702,extrap
-6.91386,4.67091,1.99747,extrap
3.02533,-6.32684,1.98758,extrap
6.30923,2.5328,1.97565,extrap
-6.9116,1.38718,1.78692,extrap
-5.25334,4.80218,1.99681,extrap
6.23103,-1.78217,1.90915,extrap
6.41853,1.19229,1.66838,extrap
-4.02328,5.77011,1.9953,extrap
-6.17329,4.29309,1.99638,extrap
-1.90973,5.89881,1.92925,extrap
5.13993,-2.81669,1.98293,extrap
-3.06285,-5.76853,1.98786,extrap
2.85692,-5.00351,1.98362,extrap
-6.43319,3.3625,1.99165,extrap
-6.78621,-3.46332,1.99263,extrap
5.35725,-4.46517,1.99628,extrap
-4.7765,-6.77903,1.99761,extrap
-1.91975,5.49417,1.93033,extrap
-5.05293,4.93924,1.99679,extrap
-4.12138,5.63779,1.99556,extrap
5.8834,4.97073,1.99753,extrap
-6.67905,-2.05547,1.94645,extrap
-3.81988,6.1522,1.99463,extrap
5.16783,-2.51924,1.97437,extrap
5.42159,3.83897,1.99426,extrap
0.452971,6.45002,1.03982,extrap
-1.74949,-5.9839,1.90277,extrap
-6.21424,-2.86441,1.98469,extrap
-1.50135,5.28634,1.83427,extrap
6.16004,1.23193,1.69658,extrap
5.63936,-3.32909,1.99094,extrap
5.09504,-1.02553,1.52371,extrap
-2.36007,-5.74567,1.96786,extrap
-3.21124,6.18396,1.99,extrap
6.15742,-0.630176,1.13553,extrap
5.61282,-2.26887,1.96263,extrap
5.91081,0.358398,1.01541,extrap
